일별,M001_한식,M002_일식/중식/양식,M003_제과/커피/패스트푸드,M004_기타요식,M005_유흥,M006_백화점,M007_할인점/슈퍼마켓,M008_편의점,M009_기타유통,M010_음/식료품,M011_의복/의류,M012_패션/잡화,M013_스포츠/문화/레저,M014_스포츠/문화/레저용품,M015_숙박,M016_여행,M017_미용서비스,M018_화장품,M019_서비스,M020_인테리어,M021_학원,M022_유아교육,M023_교육용품,M024_병원,M025_약국,M026_기타의료,M027_가전/가구,M028_자동차판매,M029_자동차서비스/용품,M030_주유
2019-01-01,3281 ,710 ,2014 ,2946 ,174 ,290 ,6067 ,4427 ,540 ,1184 ,324 ,91 ,1506 ,231 ,200 ,43 ,366 ,101 ,161 ,25 ,37 ,6 ,100 ,155 ,275 ,5 ,149 ,0 ,182 ,1717 
2019-01-02,3357 ,662 ,1931 ,2864 ,83 ,545 ,5909 ,4853 ,752 ,1212 ,257 ,123 ,1190 ,202 ,106 ,53 ,373 ,147 ,394 ,124 ,269 ,48 ,211 ,1887 ,1513 ,21 ,230 ,5 ,363 ,1885 
2019-01-03,3538 ,728 ,1990 ,3053 ,100 ,534 ,5823 ,5041 ,532 ,1254 ,265 ,118 ,1135 ,205 ,110 ,53 ,353 ,146 ,376 ,122 ,239 ,32 ,195 ,1695 ,1316 ,20 ,218 ,9 ,345 ,1897 
2019-01-04,3847 ,818 ,2104 ,3381 ,`,606 ,6027 ,5272 ,457 ,1344 ,286 ,126 ,1193 ,218 ,119 ,52 ,380 ,148 ,287 ,122 ,196 ,21 ,186 ,1744 ,1335 ,21 ,231 ,9 ,358 ,1977 
2019-01-05,3971 ,920 ,2324 ,3649 ,199 ,910 ,6905 ,4991 ,445 ,1484 ,413 ,160 ,1611 ,313 ,205 ,47 ,595 ,157 ,309 ,112 ,113 ,3 ,176 ,1220 ,1067 ,16 ,234 ,3 ,371 ,2003 
2019-01-06,3328 ,811 ,2082 ,3101 ,154 ,860 ,6257 ,4516 ,483 ,1115 ,347 ,117 ,1459 ,267 ,181 ,55 ,510 ,120 ,166 ,40 ,53 ,3 ,132 ,153 ,279 ,5 ,184 ,0 ,205 ,1688 
2019-01-07,3412 ,644 ,1965 ,2917 ,81 ,442 ,5859 ,5068 ,985 ,1267 ,236 ,113 ,1021 ,191 ,103 ,55 ,334 ,133 ,701 ,130 ,217 ,30 ,194 ,1992 ,1536 ,22 ,257 ,9 ,349 ,1865 
2019-01-08,3525 ,717 ,1994 ,3028 ,94 ,481 ,5729 ,5030 ,760 ,1238 ,244 ,109 ,999 ,196 ,107 ,52 ,306 ,143 ,288 ,118 ,177 ,20 ,172 ,1644 ,1227 ,20 ,287 ,9 ,338 ,1865 
2019-01-09,3574 ,747 ,2030 ,3090 ,99 ,490 ,5590 ,5096 ,476 ,1256 ,251 ,112 ,1014 ,197 ,106 ,56 ,341 ,164 ,301 ,115 ,142 ,14 ,171 ,1539 ,1144 ,21 ,215 ,9 ,331 ,1851 
2019-01-10,3661 ,775 ,2130 ,3209 ,107 ,504 ,5886 ,5226 ,576 ,1276 ,274 ,118 ,1057 ,203 ,111 ,59 ,345 ,202 ,724 ,137 ,127 ,12 ,179 ,1536 ,1172 ,21 ,939 ,9 ,328 ,1866 
2019-01-11,3941 ,844 ,2209 ,3581 ,139 ,585 ,6227 ,5537 ,598 ,1411 ,299 ,128 ,1172 ,225 ,129 ,59 ,391 ,209 ,300 ,120 ,114 ,7 ,169 ,1662 ,1257 ,19 ,233 ,9 ,353 ,1985 
2019-01-12,4041 ,953 ,2389 ,3794 ,207 ,870 ,7166 ,5252 ,392 ,1546 ,414 ,163 ,1647 ,330 ,225 ,54 ,607 ,236 ,305 ,104 ,68 ,1 ,159 ,1160 ,1014 ,18 ,243 ,3 ,372 ,1979 
2019-01-13,3449 ,843 ,2162 ,3253 ,164 ,870 ,5102 ,4869 ,469 ,1246 ,357 ,119 ,1538 ,292 ,199 ,62 ,520 ,126 ,168 ,42 ,35 ,0 ,127 ,142 ,254 ,4 ,189 ,0 ,215 ,1705 
2019-01-14,3371 ,632 ,1913 ,2859 ,83 ,416 ,5913 ,5179 ,583 ,1272 ,224 ,106 ,1011 ,168 ,110 ,56 ,324 ,138 ,306 ,125 ,134 ,126 ,157 ,1888 ,1558 ,21 ,225 ,11 ,334 ,1832 
2019-01-15,3496 ,702 ,1977 ,3010 ,96 ,448 ,5771 ,5142 ,578 ,1249 ,226 ,102 ,996 ,168 ,111 ,53 ,295 ,134 ,667 ,117 ,119 ,97 ,156 ,1574 ,1215 ,21 ,582 ,9 ,324 ,1840 
2019-01-16,3594 ,729 ,2045 ,3190 ,98 ,476 ,5914 ,5183 ,528 ,1295 ,248 ,111 ,1008 ,174 ,113 ,57 ,341 ,148 ,302 ,118 ,109 ,214 ,160 ,1516 ,1116 ,19 ,217 ,9 ,327 ,1876 
2019-01-17,3605 ,744 ,2053 ,3171 ,103 ,479 ,5831 ,5210 ,734 ,1291 ,249 ,111 ,1042 ,180 ,112 ,58 ,341 ,151 ,258 ,117 ,95 ,166 ,161 ,1499 ,1131 ,19 ,222 ,9 ,326 ,1876 
2019-01-18,3940 ,833 ,2228 ,3560 ,137 ,573 ,6205 ,5482 ,457 ,1432 ,279 ,126 ,1155 ,203 ,134 ,58 ,395 ,161 ,279 ,121 ,99 ,132 ,158 ,1633 ,1221 ,21 ,236 ,9 ,352 ,2016 
2019-01-19,4075 ,941 ,2393 ,3804 ,210 ,830 ,7004 ,5282 ,434 ,1572 ,386 ,157 ,1634 ,314 ,225 ,57 ,614 ,169 ,308 ,110 ,63 ,17 ,155 ,1129 ,992 ,17 ,244 ,3 ,377 ,2028 
2019-01-20,3437 ,829 ,2140 ,3210 ,161 ,816 ,6406 ,4616 ,480 ,1184 ,329 ,115 ,1507 ,264 ,200 ,61 ,525 ,128 ,174 ,39 ,32 ,12 ,117 ,140 ,258 ,7 ,193 ,0 ,217 ,1725 
2019-01-21,3433 ,635 ,1986 ,2907 ,84 ,420 ,5769 ,5051 ,708 ,1325 ,223 ,107 ,1024 ,167 ,112 ,56 ,331 ,134 ,612 ,129 ,127 ,147 ,213 ,1910 ,1443 ,23 ,589 ,11 ,335 ,1861 
2019-01-22,3551 ,710 ,2043 ,3206 ,97 ,453 ,5904 ,5225 ,553 ,1316 ,236 ,109 ,1001 ,176 ,110 ,53 ,309 ,135 ,283 ,195 ,119 ,96 ,157 ,1623 ,1190 ,21 ,213 ,9 ,334 ,1851 
2019-01-23,3602 ,732 ,2047 ,3161 ,102 ,466 ,5626 ,5224 ,598 ,1327 ,237 ,110 ,1068 ,174 ,109 ,54 ,348 ,140 ,305 ,119 ,111 ,66 ,153 ,1527 ,1120 ,21 ,214 ,10 ,335 ,1845 
2019-01-24,3633 ,749 ,2080 ,3219 ,104 ,475 ,5918 ,5259 ,602 ,1338 ,251 ,109 ,1093 ,184 ,113 ,56 ,349 ,142 ,277 ,117 ,110 ,44 ,155 ,1513 ,1129 ,22 ,227 ,9 ,334 ,1871 
