일별,성별,연령대별,업종,카드이용건수(천건),Unnamed: 5,Unnamed: 6,Unnamed: 7
20190101,F,20대,M001_한식,298.9,,,10.0
20190101,F,30대,M001_한식,252.7,,,
20190101,F,40대,M001_한식,311.8,,,
20190101,F,50대,M001_한식,251.3,,,
20190101,F,60대,M001_한식,86.9,,,
20190101,F,70대,M001_한식,22.3,,,
20190101,M,20대,M001_한식,436.9,,,
20190101,M,30대,M001_한식,473.3,,,
20190101,M,40대,M001_한식,505.4,,,
20190101,M,50대,M001_한식,425.1,,,
20190101,M,60대,M001_한식,167.7,,,
20190101,M,70대,M001_한식,48.8,,,
20190102,F,20대,M001_한식,323.4,,,
20190102,F,30대,M001_한식,293.1,,,
20190102,F,40대,M001_한식,352.5,,,
20190102,F,50대,M001_한식,268.8,,,
20190102,F,60대,M001_한식,90.5,,,
20190102,F,70대,M001_한식,25.3,,,
20190102,M,20대,M001_한식,409.8,,,
20190102,M,30대,M001_한식,470.2,,,
20190102,M,40대,M001_한식,499.8,,,
20190102,M,50대,M001_한식,398.8,,,
20190102,M,60대,M001_한식,167.2,,,
20190102,M,70대,M001_한식,57.3,,,
20190103,F,20대,M001_한식,337.2,,,
20190103,F,30대,M001_한식,314.6,,,
20190103,F,40대,M001_한식,383.0,,,
20190103,F,50대,M001_한식,288.2,,,
20190103,F,60대,M001_한식,98.9,,,
20190103,F,70대,M001_한식,28.5,,,
20190103,M,20대,M001_한식,410.2,,,
20190103,M,30대,M001_한식,487.6,,,
20190103,M,40대,M001_한식,525.0,,,
20190103,M,50대,M001_한식,423.9,,,
20190103,M,60대,M001_한식,178.5,,,
20190103,M,70대,M001_한식,60.5,,,
20190104,F,20대,M001_한식,356.1,,,
20190104,F,30대,M001_한식,347.8,,,
20190104,F,40대,M001_한식,421.9,,,
20190104,F,50대,M001_한식,307.2,,,
20190104,F,60대,M001_한식,103.2,,,
20190104,F,70대,M001_한식,29.7,,,
20190104,M,20대,M001_한식,441.4,,,
20190104,M,30대,M001_한식,541.9,,,
20190104,M,40대,M001_한식,586.0,,,
20190104,M,50대,M001_한식,461.7,,,
20190104,M,60대,M001_한식,187.4,,,
20190104,M,70대,M001_한식,62.8,,,
20190105,F,20대,M001_한식,341.4,,,
20190105,F,30대,M001_한식,332.9,,,
20190105,F,40대,M001_한식,420.0,,,
20190105,F,50대,M001_한식,305.0,,,
20190105,F,60대,M001_한식,105.1,,,
20190105,F,70대,M001_한식,28.2,,,
20190105,M,20대,M001_한식,466.9,,,
20190105,M,30대,M001_한식,577.0,,,
20190105,M,40대,M001_한식,632.5,,,
20190105,M,50대,M001_한식,498.4,,,
20190105,M,60대,M001_한식,199.9,,,
20190105,M,70대,M001_한식,64.2,,,
20190106,F,20대,M001_한식,291.2,,,
20190106,F,30대,M001_한식,270.8,,,
20190106,F,40대,M001_한식,328.3,,,
20190106,F,50대,M001_한식,253.7,,,
20190106,F,60대,M001_한식,91.0,,,
20190106,F,70대,M001_한식,23.8,,,
20190106,M,20대,M001_한식,420.1,,,
20190106,M,30대,M001_한식,489.4,,,
20190106,M,40대,M001_한식,512.7,,,
20190106,M,50대,M001_한식,416.2,,,
20190106,M,60대,M001_한식,176.0,,,
20190106,M,70대,M001_한식,55.2,,,
20190107,F,20대,M001_한식,329.2,,,
20190107,F,30대,M001_한식,299.8,,,
20190107,F,40대,M001_한식,362.4,,,
20190107,F,50대,M001_한식,281.2,,,
20190107,F,60대,M001_한식,97.0,,,
20190107,F,70대,M001_한식,28.0,,,
20190107,M,20대,M001_한식,408.2,,,
20190107,M,30대,M001_한식,471.2,,,
20190107,M,40대,M001_한식,499.9,,,
20190107,M,50대,M001_한식,404.8,,,
20190107,M,60대,M001_한식,171.2,,,
20190107,M,70대,M001_한식,60.4,,,
20190108,F,20대,M001_한식,329.7,,,
20190108,F,30대,M001_한식,311.7,,,
20190108,F,40대,M001_한식,384.4,,,
20190108,F,50대,M001_한식,293.8,,,
20190108,F,60대,M001_한식,100.5,,,
20190108,F,70대,M001_한식,28.6,,,
20190108,M,20대,M001_한식,404.3,,,
20190108,M,30대,M001_한식,481.5,,,
20190108,M,40대,M001_한식,527.9,,,
20190108,M,50대,M001_한식,423.3,,,
20190108,M,60대,M001_한식,176.9,,,
20190108,M,70대,M001_한식,61.4,,,
20190109,F,20대,M001_한식,329.2,,,
20190109,F,30대,M001_한식,315.7,,,
20190109,F,40대,M001_한식,391.0,,,
20190109,F,50대,M001_한식,290.4,,,
20190109,F,60대,M001_한식,101.3,,,
20190109,F,70대,M001_한식,27.8,,,
20190109,M,20대,M001_한식,410.6,,,
20190109,M,30대,M001_한식,495.9,,,
20190109,M,40대,M001_한식,540.1,,,
20190109,M,50대,M001_한식,433.1,,,
20190109,M,60대,M001_한식,178.7,,,
20190109,M,70대,M001_한식,60.0,,,
20190110,F,20대,M001_한식,341.1,,,
20190110,F,30대,M001_한식,324.9,,,
20190110,F,40대,M001_한식,404.8,,,
20190110,F,50대,M001_한식,298.7,,,
20190110,F,60대,M001_한식,104.2,,,
20190110,F,70대,M001_한식,30.0,,,
20190110,M,20대,M001_한식,423.5,,,
20190110,M,30대,M001_한식,501.4,,,
20190110,M,40대,M001_한식,550.6,,,
20190110,M,50대,M001_한식,436.4,,,
20190110,M,60대,M001_한식,182.6,,,
20190110,M,70대,M001_한식,61.5,,,
20190111,F,20대,M001_한식,371.4,,,
20190111,F,30대,M001_한식,357.0,,,
20190111,F,40대,M001_한식,431.0,,,
20190111,F,50대,M001_한식,312.5,,,
20190111,F,60대,M001_한식,106.3,,,
20190111,F,70대,M001_한식,29.4,,,
20190111,M,20대,M001_한식,458.6,,,
20190111,M,30대,M001_한식,554.0,,,
20190111,M,40대,M001_한식,596.7,,,
20190111,M,50대,M001_한식,469.0,,,
20190111,M,60대,M001_한식,192.2,,,
20190111,M,70대,M001_한식,63.4,,,
20190112,F,20대,M001_한식,354.0,,,
20190112,F,30대,M001_한식,337.6,,,
20190112,F,40대,M001_한식,424.6,,,
20190112,F,50대,M001_한식,309.2,,,
20190112,F,60대,M001_한식,106.5,,,
20190112,F,70대,M001_한식,29.2,,,
20190112,M,20대,M001_한식,485.7,,,
20190112,M,30대,M001_한식,586.4,,,
20190112,M,40대,M001_한식,638.6,,,
20190112,M,50대,M001_한식,502.4,,,
20190112,M,60대,M001_한식,201.4,,,
20190112,M,70대,M001_한식,64.5,,,
20190113,F,20대,M001_한식,305.8,,,
20190113,F,30대,M001_한식,278.4,,,
20190113,F,40대,M001_한식,339.0,,,
20190113,F,50대,M001_한식,263.2,,,
20190113,F,60대,M001_한식,93.4,,,
20190113,F,70대,M001_한식,24.6,,,
20190113,M,20대,M001_한식,442.6,,,
20190113,M,30대,M001_한식,501.1,,,
20190113,M,40대,M001_한식,534.2,,,
20190113,M,50대,M001_한식,431.0,,,
20190113,M,60대,M001_한식,179.9,,,
20190113,M,70대,M001_한식,55.5,,,
20190114,F,20대,M001_한식,325.4,,,
20190114,F,30대,M001_한식,290.5,,,
20190114,F,40대,M001_한식,356.4,,,
20190114,F,50대,M001_한식,274.3,,,
20190114,F,60대,M001_한식,96.2,,,
20190114,F,70대,M001_한식,28.0,,,
20190114,M,20대,M001_한식,409.2,,,
20190114,M,30대,M001_한식,467.1,,,
20190114,M,40대,M001_한식,500.2,,,
20190114,M,50대,M001_한식,399.5,,,
20190114,M,60대,M001_한식,167.8,,,
20190114,M,70대,M001_한식,56.8,,,
20190115,F,20대,M001_한식,329.3,,,
20190115,F,30대,M001_한식,301.0,,,
20190115,F,40대,M001_한식,378.2,,,
20190115,F,50대,M001_한식,286.8,,,
20190115,F,60대,M001_한식,98.6,,,
20190115,F,70대,M001_한식,28.5,,,
20190115,M,20대,M001_한식,412.1,,,
20190115,M,30대,M001_한식,484.2,,,
20190115,M,40대,M001_한식,523.2,,,
20190115,M,50대,M001_한식,420.0,,,
20190115,M,60대,M001_한식,176.0,,,
20190115,M,70대,M001_한식,58.2,,,
20190116,F,20대,M001_한식,338.6,,,
20190116,F,30대,M001_한식,318.5,,,
20190116,F,40대,M001_한식,390.0,,,
20190116,F,50대,M001_한식,293.3,,,
20190116,F,60대,M001_한식,100.1,,,
20190116,F,70대,M001_한식,28.3,,,
20190116,M,20대,M001_한식,419.0,,,
20190116,M,30대,M001_한식,498.8,,,
20190116,M,40대,M001_한식,536.7,,,
20190116,M,50대,M001_한식,430.2,,,
20190116,M,60대,M001_한식,180.1,,,
20190116,M,70대,M001_한식,60.0,,,
20190117,F,20대,M001_한식,337.1,,,
20190117,F,30대,M001_한식,320.9,,,
20190117,F,40대,M001_한식,393.3,,,
20190117,F,50대,M001_한식,294.5,,,
20190117,F,60대,M001_한식,100.7,,,
20190117,F,70대,M001_한식,28.8,,,
20190117,M,20대,M001_한식,415.2,,,
20190117,M,30대,M001_한식,497.1,,,
20190117,M,40대,M001_한식,539.8,,,
20190117,M,50대,M001_한식,433.4,,,
20190117,M,60대,M001_한식,181.2,,,
20190117,M,70대,M001_한식,62.8,,,
20190118,F,20대,M001_한식,365.0,,,
20190118,F,30대,M001_한식,358.1,,,
20190118,F,40대,M001_한식,430.1,,,
20190118,F,50대,M001_한식,313.2,,,
20190118,F,60대,M001_한식,107.6,,,
20190118,F,70대,M001_한식,29.4,,,
20190118,M,20대,M001_한식,449.5,,,
20190118,M,30대,M001_한식,557.3,,,
20190118,M,40대,M001_한식,598.3,,,
20190118,M,50대,M001_한식,473.7,,,
20190118,M,60대,M001_한식,194.4,,,
20190118,M,70대,M001_한식,64.4,,,
20190119,F,20대,M001_한식,349.2,,,
20190119,F,30대,M001_한식,342.9,,,
20190119,F,40대,M001_한식,428.6,,,
20190119,F,50대,M001_한식,309.5,,,
20190119,F,60대,M001_한식,106.8,,,
20190119,F,70대,M001_한식,29.7,,,
20190119,M,20대,M001_한식,480.0,,,
20190119,M,30대,M001_한식,590.6,,,
20190119,M,40대,M001_한식,653.2,,,
20190119,M,50대,M001_한식,513.6,,,
20190119,M,60대,M001_한식,205.3,,,
20190119,M,70대,M001_한식,64.4,,,
20190120,F,20대,M001_한식,301.5,,,
20190120,F,30대,M001_한식,282.7,,,
20190120,F,40대,M001_한식,338.5,,,
20190120,F,50대,M001_한식,257.4,,,
20190120,F,60대,M001_한식,91.9,,,
20190120,F,70대,M001_한식,23.8,,,
20190120,M,20대,M001_한식,435.3,,,
20190120,M,30대,M001_한식,505.4,,,
20190120,M,40대,M001_한식,536.2,,,
20190120,M,50대,M001_한식,429.0,,,
20190120,M,60대,M001_한식,180.3,,,
20190120,M,70대,M001_한식,55.4,,,
20190121,F,20대,M001_한식,323.2,,,
20190121,F,30대,M001_한식,301.9,,,
20190121,F,40대,M001_한식,365.8,,,
20190121,F,50대,M001_한식,280.6,,,
20190121,F,60대,M001_한식,97.3,,,
20190121,F,70대,M001_한식,28.4,,,
20190121,M,20대,M001_한식,409.3,,,
20190121,M,30대,M001_한식,479.0,,,
20190121,M,40대,M001_한식,507.8,,,
20190121,M,50대,M001_한식,407.7,,,
20190121,M,60대,M001_한식,173.2,,,
20190121,M,70대,M001_한식,59.4,,,
20190122,F,20대,M001_한식,325.9,,,
20190122,F,30대,M001_한식,315.7,,,
20190122,F,40대,M001_한식,387.5,,,
20190122,F,50대,M001_한식,293.6,,,
20190122,F,60대,M001_한식,103.3,,,
20190122,F,70대,M001_한식,29.0,,,
20190122,M,20대,M001_한식,401.8,,,
20190122,M,30대,M001_한식,487.0,,,
20190122,M,40대,M001_한식,530.9,,,
20190122,M,50대,M001_한식,428.7,,,
20190122,M,60대,M001_한식,181.7,,,
20190122,M,70대,M001_한식,63.9,,,
20190123,F,20대,M001_한식,329.9,,,
20190123,F,30대,M001_한식,320.1,,,
