학교종류명,도로명우편번호,도로명주소
초등학교,4702,서울특별시 성동구 마장로 161
초등학교,4763,서울특별시 성동구 살곶이길 208
초등학교,5006,서울특별시 광진구 군자로 114
초등학교,5114,서울특별시 광진구 자양로4길 63
초등학교,5011,서울특별시 광진구 군자로 9
초등학교,4713,서울특별시 성동구 행당로 95
초등학교,4746,서울특별시 성동구 고산자로8길 6
초등학교,4907,서울특별시 광진구 동일로72길 43
초등학교,4908,서울특별시 광진구 긴고랑로13길 59
초등학교,5004,서울특별시 광진구 군자로 74
초등학교,5054,서울특별시 광진구 아차산로44길 26
초등학교,4742,서울특별시 성동구 독서당로62길 28
초등학교,4926,서울특별시 광진구 천호대로113길 10
초등학교,4805,서울특별시 성동구 용답25길 1
초등학교,4940,서울특별시 광진구 용마산로22길 82
초등학교,4735,서울특별시 성동구 한림말길 43
초등학교,4740,서울특별시 성동구 금호로1길 25
초등학교,4982,서울특별시 광진구 워커힐로 32
초등학교,5114,서울특별시 광진구 뚝섬로64길 71
초등학교,5110,서울특별시 광진구 뚝섬로46길 64
초등학교,5090,서울특별시 광진구 능동로 42
초등학교,4800,서울특별시 성동구 동일로43길 9
초등학교,5102,서울특별시 광진구 뚝섬로56길 7
초등학교,4798,서울특별시 성동구 아차산로17길 21
초등학교,4761,서울특별시 성동구 사근동11길 16
초등학교,4710,서울특별시 성동구 무학봉15길 21
초등학교,4753,서울특별시 성동구 마장로35나길 31
초등학교,4731,서울특별시 성동구 동호로5길 133
초등학교,5069,서울특별시 광진구 뚝섬로 561
초등학교,4948,서울특별시 광진구 영화사로 111
초등학교,4705,서울특별시 성동구 마장로29길 29
초등학교,4726,서울특별시 성동구 무수막길 69
초등학교,4725,서울특별시 성동구 독서당로 251
초등학교,4721,서울특별시 성동구 행당로1길 13
초등학교,5022,서울특별시 광진구 광나루로30길 49
초등학교,5048,서울특별시 광진구 구의강변로 69
초등학교,4980,서울특별시 광진구 자양로40길 41
초등학교,4966,서울특별시 광진구 광장로1길 27
초등학교,4973,서울특별시 광진구 아차산로70길 35
초등학교,4774,서울특별시 성동구 뚝섬로 332
초등학교,4785,서울특별시 성동구 뚝섬로13길 22
초등학교,4781,서울특별시 성동구 성수일로 34
초등학교,4991,서울특별시 광진구 천호대로130길 58
초등학교,6973,서울특별시 동작구 서달로 135
초등학교,6904,서울특별시 동작구 현충로 87
초등학교,7031,서울특별시 동작구 솔밭로 47
초등학교,8833,서울특별시 관악구 관악로5길 61
초등학교,8701,서울특별시 관악구 조원로 67
초등학교,8792,서울특별시 관악구 낙성대로 23
초등학교,8716,서울특별시 관악구 은천로 69
초등학교,6973,서울특별시 동작구 서달로 115
초등학교,8846,서울특별시 관악구 광신길 177
초등학교,8739,서울특별시 관악구 봉천로 505
초등학교,6933,서울특별시 동작구 등용로8길 3
초등학교,6915,서울특별시 동작구 만양로12가길 69
초등학교,8823,서울특별시 관악구 호암로 498
초등학교,8839,서울특별시 관악구 신림로 114
초등학교,6967,서울특별시 동작구 장승배기로 14
초등학교,8747,서울특별시 관악구 양녕로6나길 1
초등학교,8842,서울특별시 관악구 문성로28길 31
초등학교,7030,서울특별시 동작구 사당로 146
초등학교,6941,서울특별시 동작구 알마타길 16
초등학교,7039,서울특별시 동작구 상도로58길 21
초등학교,6961,서울특별시 동작구 성대로21길 62
초등학교,7000,서울특별시 동작구 사당로23나길 27
초등학교,8816,서울특별시 관악구 대학7길 52
초등학교,8804,서울특별시 관악구 남현4길 51
초등학교,8723,서울특별시 관악구 성현로 117
초등학교,8736,서울특별시 관악구 행운1라길 17
초등학교,6907,서울특별시 동작구 노량진로26길 16-40
초등학교,7063,서울특별시 동작구 여의대방로16길 30
초등학교,8770,서울특별시 관악구 문성로 79
초등학교,7066,서울특별시 동작구 신대방2길 14
초등학교,6992,서울특별시 동작구 동작대로29길 214
초등학교,6954,서울특별시 동작구 대방동1길 22
초등학교,8711,서울특별시 관악구 보라매로2길 23
초등학교,6924,서울특별시 동작구 장승배기로 160
초등학교,7005,서울특별시 동작구 사당로23길 57-14
초등학교,7014,서울특별시 동작구 동작대로13길 22
초등학교,8763,서울특별시 관악구 남부순환로163길 14
초등학교,8859,서울특별시 관악구 난향길 9
초등학교,8850,서울특별시 관악구 난우길 40
초등학교,8858,서울특별시 관악구 난곡로35길 102
초등학교,8724,서울특별시 관악구 구암길 1
초등학교,8785,서울 관악구 청룡4길 49
초등학교,6912,서울특별시 동작구 강남초등길 15
초등학교,5201,서울특별시 강동구 아리수로93다길 1
초등학교,5274,서울특별시 강동구 상일로11길 110
초등학교,5698,서울특별시 송파구 송파대로37길 95
초등학교,5214,서울특별시 강동구 고덕로97길 80
초등학교,5850,서울특별시 송파구 위례광장로 243
초등학교,5371,서울특별시 강동구 풍성로 261
초등학교,5506,서울특별시 송파구 강동대로2길 13
초등학교,5522,서울특별시 송파구 풍성로 43
초등학교,5831,서울특별시 송파구 송파대로26길 22
초등학교,5533,서울특별시 송파구 풍성로20길 44
초등학교,5309,서울특별시 강동구 구천면로 310-11
초등학교,5330,서울특별시 강동구 구천면로 266
초등학교,5341,서울특별시 강동구 성안로 200
초등학교,5677,서울특별시 송파구 송파대로36길 8
초등학교,5507,서울특별시 송파구 올림픽로37길 109
초등학교,5568,서울특별시 송파구 올림픽로12길 51
초등학교,5501,서울특별시 송파구 올림픽로 95
초등학교,5507,서울특별시 송파구 올림픽로35길 20
초등학교,5502,서울특별시 송파구 잠실로 32
초등학교,5504,서울특별시 송파구 올림픽로35길 122
초등학교,5410,서울특별시 강동구 명일로 23
초등학교,5649,서울특별시 송파구 양재대로 1196
초등학교,5654,서울특별시 송파구 위례성대로22길 11
초등학교,5744,서울특별시 송파구 오금로57길 15
초등학교,5572,서울특별시 송파구 올림픽로4길 59
초등학교,5503,서울특별시 송파구 올림픽로 215
초등학교,5242,서울특별시 강동구 올림픽로93길 33-16
초등학교,5300,서울특별시 강동구 명일로24길 33
초등학교,5706,서울특별시 송파구 송이로 75
초등학교,5666,서울특별시 송파구 백제고분로 400
초등학교,5607,서울특별시 송파구 석촌호수로 159
초등학교,5853,서울특별시 송파구 위례순환로 439
초등학교,5649,서울특별시 송파구 양재대로 1264
초등학교,5396,서울특별시 강동구 성내로15길 33
초등학교,5392,서울특별시 강동구 성내로3길 19
초등학교,5239,서울특별시 강동구 올림픽로 837
초등학교,5367,서울특별시 강동구 진황도로61길 29
초등학교,5689,서울특별시 송파구 가락로11길 26
초등학교,5283,서울특별시 강동구 천호대로 1477
초등학교,5584,서울특별시 송파구 백제고분로28길 19
초등학교,5555,서울특별시 송파구 석촌호수로 81
초등학교,5636,서울특별시 송파구 위례성대로10길 4
초등학교,5645,서울특별시 송파구 오금로27길 42
초등학교,5799,서울특별시 송파구 충민로 137
초등학교,5797,서울특별시 송파구 문정로5길 20
초등학교,5809,서울특별시 송파구 송이로34길 60
초등학교,5232,서울특별시 강동구 동남로79길 46
초등학교,5256,서울특별시 강동구 고덕로38길 8
초등학교,5268,서울특별시 강동구 명일로 364
초등학교,5230,서울특별시 강동구 양재대로156길 11
초등학교,5758,서울특별시 송파구 마천로61다길 24
초등학교,5409,서울특별시 강동구 양재대로88길 27
초등학교,5271,서울특별시 강동구 상암로 271
초등학교,5745,서울특별시 송파구 성내천로 207
초등학교,5344,서울특별시 강동구 양재대로116길 69
초등학교,5275,서울특별시 강동구 구천면로93길 20
초등학교,5267,서울특별시 강동구 고덕로46길 53
초등학교,5221,서울특별시 강동구 아리수로82길 42
초등학교,5789,서울특별시 송파구 양산로2길 26
초등학교,5731,서울특별시 송파구 마천로25길 18
초등학교,5742,서울특별시 송파구 문정로 211
초등학교,5213,서울특별시 강동구 아리수로98길 24
초등학교,5285,서울특별시 강동구 상일로 74-1
초등학교,5322,서울특별시 강동구 상암로14길 77
초등학교,134803,서울특별시 강동구 동남로82길 94-54
초등학교,5823,서울특별시 송파구 오금로40길 37
초등학교,5834,서울특별시 송파구 중대로4길 8
초등학교,5698,서울특별시 송파구 송파대로37길 45
초등학교,5820,서울특별시 송파구 중대로20길 47
초등학교,2831,서울특별시 성북구 성북로4길 52-1
초등학교,1211,서울특별시 강북구 도봉로13가길 19
초등학교,2840,서울특별시 성북구 북악산로 918
초등학교,2828,서울특별시 성북구 북악산로 870
초등학교,2859,서울특별시 성북구 안암로 5
초등학교,2763,서울특별시 성북구 한천로 694
초등학교,1158,서울특별시 강북구 솔매로50가길 25
초등학교,2706,서울특별시 성북구 정릉로9라길 11
초등학교,2813,서울특별시 성북구 정릉로24길 58
초등학교,2701,서울특별시 성북구 솔샘로25가길 8
초등학교,2826,서울특별시 성북구 아리랑로 63
초등학교,2769,서울특별시 성북구 장월로8가길 41
초등학교,2758,서울특별시 성북구 한천로101길 66
초등학교,2754,서울특별시 성북구 장월로23길 16
초등학교,2795,서울특별시 성북구 월곡로 74
초등학교,1020,서울특별시 강북구 인수봉로 269
초등학교,1095,서울특별시 강북구 인수봉로37길 24
초등학교,2747,서울특별시 성북구 장월로3길 42
초등학교,1085,서울특별시 강북구 삼양로99길 36
초등학교,1230,서울특별시 강북구 월계로 221
초등학교,2850,서울특별시 성북구 인촌로7가길 39
초등학교,2741,서울특별시 성북구 오패산로16길 37
초등학교,2811,서울특별시 성북구 종암로5길 14
초등학교,2718,서울특별시 성북구 정릉로 279
초등학교,2736,서울특별시 성북구 종암로40길 30
초등학교,1116,서울특별시 강북구 삼양로74길 39
초등학교,1061,서울특별시 강북구 한천로124길 14
초등학교,1208,서울특별시 강북구 삼양로20길 29
초등학교,1165,서울특별시 강북구 오현로 9
초등학교,2837,서울특별시 성북구 성북로 102-10
초등학교,2783,서울특별시 성북구 돌곶이로22길 21
초등학교,2780,서울특별시 성북구 한천로58길 273
초등학교,1181,서울특별시 강북구 삼양로49길 17
초등학교,2863,서울특별시 성북구 보문로29길 106
초등학교,1198,서울특별시 강북구 삼양로19길 141
초등학교,1224,서울특별시 강북구 오현로 204
초등학교,1187,서울특별시 강북구 솔샘로 195
초등학교,2724,서울특별시 성북구 삼양로 77
초등학교,2874,서울특별시 성북구 보문사길 50
초등학교,2830,서울특별시 성북구 동소문로13길 38
초등학교,2723,서울특별시 성북구 길음로 142
초등학교,2715,서울특별시 성북구 길음로15길 55
초등학교,2806,서울특별시 성북구 정릉로48길 52
초등학교,6373,서울특별시 강남구 자곡로 150
초등학교,6370,서울특별시 강남구 밤고개로21길 15
초등학교,6767,서울특별시 서초구 양재대로2길 74
초등학교,6375,서울특별시 강남구 자곡로 55
초등학교,6765,서울특별시 서초구 태봉로
초등학교,6100,서울특별시 강남구 선릉로115길 42
초등학교,6311,서울특별시 강남구 개포로22길 87
초등학교,6010,서울특별시 강남구 압구정로71길 9
초등학교,6547,서울특별시 서초구 신반포로16길 15-25
초등학교,6345,서울특별시 강남구 영동대로4길 20
초등학교,6692,서울특별시 서초구 방배천로4길 23
초등학교,6544,서울특별시 서초구 사평대로45길 26
초등학교,6602,서울특별시 서초구 고무래로 90-6
초등학교,6762,서울특별시 서초구 바우뫼로7길 38
초등학교,6353,서울특별시 강남구 광평로31길 74
초등학교,6338,서울특별시 강남구 일원로 21
초등학교,6251,서울특별시 강남구 강남대로66길 21
초등학교,6268,서울특별시 강남구 남부순환로363길 19
초등학교,6066,서울특별시 강남구 삼성로135길 42
초등학교,6800,서울특별시 서초구 헌릉로8길 42
초등학교,6328,서울특별시 강남구 개포로 513
초등학교,6755,서울특별시 서초구 바우뫼로18길 14
초등학교,6004,서울특별시 강남구 압구정로39길 29
초등학교,6712,서울특별시 서초구 남부순환로317길 15
