"상품군별","범위별",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06 p),2021. 07 p)
"합계","계",7310479,7148849,7747011,7380795,7621719,7515130,7898554,7859658,8151143,7661802,8996978,8893647,9027008,8207296,9375766,9034274,9363224,8965075,9653420,9270381,9137279,10016442,10574144,10689701,10811796,9666871,11296239,10763785,11374817,10725166,11302975,11418155,11397646,12008033,12991605,12843750,12308866,11945935,12575341,12053828,12748344,12678358,12966841,13496390,13857627,13884207,15031417,15891202,15069277,13915804,15954632,15136515,16105888,15696608,16199648
"합계","종합몰",4801433,4767941,5180939,4921316,5107846,5067345,5280825,5181631,5395788,5086882,6160799,5997893,5934657,5468657,6269973,6039799,6268453,6011523,6494362,6107050,6108059,6754249,7150467,7124412,7106249,6290286,7557079,7070866,7539785,6955232,7256194,7297655,7453120,7847984,8459948,8266692,8070125,8299167,8803929,8338425,8767439,8584325,8773226,9122111,9447312,9367157,10137239,10600147,10164968,9305717,10455414,10000583,10526052,10026359,10456037
"합계","전문몰",2509046,2380908,2566072,2459479,2513873,2447785,2617729,2678027,2755355,2574920,2836179,2895754,3092351,2738639,3105793,2994475,3094771,2953552,3159058,3163331,3029220,3262193,3423677,3565289,3705547,3376585,3739160,3692919,3835032,3769934,4046781,4120500,3944526,4160049,4531657,4577058,4238741,3646768,3771412,3715403,3980905,4094033,4193615,4374279,4410315,4517050,4894178,5291055,4904309,4610087,5499218,5135932,5579836,5670249,5743611
"컴퓨터 및 주변기기","계",422384,475342,473351,368280,350923,376719,380974,416393,399512,353524,460739,475478,511674,453408,504061,409054,404235,371844,404250,418905,382179,419744,468166,501362,561512,542469,532496,469169,440108,389195,443122,447965,435676,445118,528007,554877,540234,608666,681731,634777,583994,525958,600372,579298,606888,551700,649088,786829,791018,785277,861298,684698,663611,613258,728138
"컴퓨터 및 주변기기","종합몰",285375,321703,322518,242177,226826,250945,246949,269731,258082,229332,304579,311712,354076,322160,346880,278377,276853,256035,281841,288936,267238,281410,328515,340479,380611,383596,376898,317643,306740,257071,300839,300061,297571,298319,371262,373240,374849,433264,468274,441967,373926,330501,370811,385090,415097,352513,430919,494315,498486,505244,490605,426406,452304,377301,422623
"컴퓨터 및 주변기기","전문몰",137009,153639,150833,126103,124097,125774,134025,146662,141430,124192,156160,163766,157598,131248,157181,130677,127382,115809,122409,129969,114941,138334,139651,160883,180901,158873,155598,151526,133368,132124,142283,147904,138105,146799,156745,181637,165385,175402,213457,192810,210068,195457,229561,194208,191791,199187,218169,292514,292532,280033,370693,258292,211307,235957,305515
"가전·전자·통신기기","계",602122,626874,667726,716708,861618,752474,926867,758482,706658,728407,948510,815267,858256,770401,946627,945259,1026133,963674,1188194,960593,792407,989521,1182355,1043945,1063081,982059,1324884,1134227,1296165,1177804,1230419,1198465,1096363,1200192,1357353,1213392,1133998,1334641,1408598,1334302,1548029,1518651,1390898,1637033,1416798,1612744,1929767,1872713,1873128,1655248,1725923,1683018,1851418,1787899,2062302
"가전·전자·통신기기","종합몰",542475,566014,597969,633963,781707,683616,843851,687755,623981,664648,834432,740659,770198,691681,839705,855166,931725,875827,1088967,852645,712763,883715,1005001,902122,937497,873576,1162672,989535,1155073,1062829,1099415,1052009,983976,1034377,1182033,1059732,990995,1154860,1221949,1174721,1396030,1363964,1239245,1449274,1237568,1389901,1587442,1591766,1573466,1395733,1452885,1434290,1589611,1548119,1811276
"가전·전자·통신기기","전문몰",59647,60860,69757,82745,79911,68858,83016,70727,82677,63759,114078,74608,88058,78720,106922,90093,94408,87847,99227,107948,79644,105806,177354,141823,125584,108483,162212,144692,141092,114975,131004,146456,112387,165815,175320,153660,143003,179781,186649,159581,151999,154687,151653,187759,179230,222843,342325,280947,299662,259515,273038,248728,261807,239780,251026
"서적","계",151230,154330,185571,122418,114380,116272,143084,149989,136666,113732,132523,161681,171254,147783,191597,144169,129125,117353,148060,149224,128183,131744,142405,168500,173949,154317,196741,147909,133322,122458,156406,154251,147118,133779,147454,178831,171425,190534,262404,205572,170009,170719,187112,202952,220562,170189,197066,266447,258758,213900,270967,195381,186464,184325,221254
"서적","종합몰",42088,41768,48851,35641,30214,32454,40865,42881,38619,31409,38387,50983,56287,45433,54612,43305,39387,36806,44441,46128,39537,42101,47161,57308,59577,50592,62151,49798,43926,39659,50451,47733,47703,43095,49453,62766,59848,68090,91397,77205,58493,58872,66077,70818,77523,60430,68645,97512,94005,74932,91155,68282,65843,66854,83441
"서적","전문몰",109142,112562,136720,86777,84166,83818,102219,107108,98047,82323,94136,110698,114967,102350,136985,100864,89738,80547,103619,103096,88646,89643,95244,111192,114372,103725,134590,98111,89396,82799,105955,106518,99415,90684,98001,116065,111577,122444,171007,128367,111516,111847,121035,132134,143039,109759,128421,168935,164753,138968,179812,127099,120621,117471,137813
"사무·문구","계",53192,60403,70006,61954,57239,55970,53826,57751,60475,56321,67942,77865,72870,71721,81900,68006,63621,59557,62526,62271,58392,71115,76364,89744,79764,71208,81741,80638,72149,63607,69488,69003,69440,78616,85392,103299,80501,90243,90968,83473,83975,81865,85045,75108,87363,94473,102669,131754,99094,94158,112341,102809,91202,89816,85613
"사무·문구","종합몰",32882,38316,45861,40174,35960,35816,33219,36470,38963,35097,44638,50117,45912,42456,50923,44235,40848,38312,42463,41620,39397,48483,51752,62608,56634,50845,58472,57681,51853,45285,48572,46365,49021,57344,60964,74821,57497,66760,68274,62786,62660,60769,62463,55280,66303,70644,75460,100648,75731,69571,83480,75514,68179,64920,62464
"사무·문구","전문몰",20310,22087,24145,21780,21279,20154,20607,21281,21512,21224,23304,27748,26958,29265,30977,23771,22773,21245,20063,20651,18995,22632,24612,27136,23130,20363,23269,22957,20296,18322,20916,22638,20419,21272,24428,28478,23004,23483,22694,20687,21315,21096,22582,19828,21060,23829,27209,31106,23363,24587,28861,27295,23023,24896,23149
"의복","계",864515,827672,1042742,972647,978235,909742,887371,758225,959679,1034705,1443945,1195890,964236,825152,1163132,1078268,1101406,1017864,992332,828362,1003952,1350908,1482193,1390544,1107321,959743,1238235,1204083,1278281,1133621,1139671,912495,1187128,1413279,1710042,1462342,1040353,949352,1173379,1162388,1343403,1323317,1105548,915563,1149298,1597835,1757900,1497038,1090709,1008665,1475747,1396195,1402264,1432246,1283677
