국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자_1일,사망자_합계,사망자_1일,완치자_합계,완치자_1일,위중증_합계,위중증_1일
미국🇺🇸,1.6,76.0,"133,051","331,002,651",43942335,+187382,709119,+2781,33394833,208564,21819,-275
인도🇮🇳,1.3,97.8,"24,431","1,380,004,385",33714241,+21093,447699,+337,32976760,28144,8944,
브라질🇧🇷,2.8,95.3,"100,592","212,559,417",21366395,+14423,594702,+218,20361191,20818,8318,
영국🇬🇧,1.8,80.7,"113,959","67,886,011",7701715,+37485,136208,+40,6219111,33541,878,-38
러시아🇷🇺,2.8,88.9,"51,151","145,934,462",7464708,+21559,205531,+852,6635485,17368,2300,
터키🇹🇷,0.9,92.3,"84,132","84,339,067",7066688,+27188,63372,+206,6522435,25160,633,
프랑스🇫🇷,1.7,96.3,"107,278","65,273,511",6995628,+1309,116537,+74,6737491,14460,1609,
이란🇮🇷,2.2,89.7,"66,192","83,992,949",5559691,+11701,119888,+239,4988109,22011,6124,-85
아르헨티나🇦🇷,2.2,97.4,"116,245","45,195,774",5251940,+1538,114954,+92,5113603,2007,1200,-37
콜롬비아🇨🇴,2.5,96.8,"97,368","50,882,891",4952690,+1015,126178,+33,4793387,1672,542,
스페인🇪🇸,1.7,95.6,"105,956","46,754,778",4951640,+5039,86298,+69,4736022,27855,837,
이탈리아🇮🇹,2.8,95.0,"77,157","60,461,826",4662087,+1773,130742,+45,4430265,2892,488,+5
독일🇩🇪,2.2,94.4,"50,350","83,783,942",4212201,+4941,94049,+66,3978200,11500,1435,
인도네시아🇮🇩,3.4,95.7,"15,397","273,523,615",4211460,+2057,141709,+124,4031099,3551,N/A,
멕시코🇲🇽,7.6,82.3,"28,199","128,932,753",3635807,+3007,275676,+230,2991723,7262,4798,
폴란드🇵🇱,2.6,91.7,"76,747","37,846,611",2904631,+976,75601,+29,2662115,107,168,+15
남아프리카 공화국🇿🇦,3.0,95.4,"48,878","59,308,690",2897521,+578,87216,+164,2762812,2719,546,
필리핀🇵🇭,1.5,93.3,"23,024","109,581,078",2522965,+32107,37686,+281,2353140,61134,3170,
우크라이나🇺🇦,2.3,93.6,"54,922","43,733,762",2401956,+6552,55863,+143,2248071,2927,177,
말레이시아🇲🇾,1.2,90.8,"68,607","32,365,999",2209194,+10959,25695,+258,2005939,16430,978,-72
페루🇵🇪,9.2,N/A,"65,915","32,971,854",2173354,+320,199314,+22,N/A,,1025,+2
네덜란드🇳🇱,0.9,N/A,"116,697","17,134,872",1999592,+1707,18162,+8,N/A,,160,-17
이라크🇮🇶,1.1,95.3,"49,689","40,222,493",1998615,+2401,22187,+45,1904022,3795,516,-5
일본🇯🇵*,1.0,96.8,"13,428","126,476,461",1698344,+1722,17577,+50,1643625,4341,1066,-44
체코🇨🇿,1.8,97.8,"157,838","10,708,981",1690288,+668,30454,,1653600,431,36,+6
칠레🇨🇱,2.3,97.3,"86,460","19,116,201",1652795,+431,37449,+4,1608584,1088,389,+9
캐나다🇨🇦,1.7,95.4,"42,813","37,742,154",1612431,+10052,27698,+49,1538280,10029,638,
태국🇹🇭,1.0,91.6,"22,656","69,799,978",1581415,+9489,16498,+129,1448206,12805,3324,
방글라데시🇧🇩,1.8,97.4,"9,435","164,689,383",1553873,+1310,27470,+31,1513876,1195,1408,-5
이스라엘🇮🇱,0.6,94.9,"147,235","8,655,535",1270230,,7684,,1205657,,641,
파키스탄🇵🇰,2.2,93.8,"5,622","220,892,340",1241825,+1400,27638,+41,1164219,2042,4015,-18
벨기에🇧🇪,2.1,93.1,"106,851","11,589,623",1238358,+4635,25568,+14,1152355,7685,206,-10
루마니아🇷🇴,3.0,91.2,"62,939","19,237,691",1210810,+11049,36658,+208,1104496,5701,1267,+49
스웨덴🇸🇪,1.3,N/A,"113,986","10,099,265",1151173,+1766,14808,+27,N/A,,35,-7
포르투갈🇵🇹,1.7,95.5,"104,718","10,196,709",1067775,+600,17962,+7,1019266,1331,74,-5
모로코🇲🇦,1.5,96.9,"25,220","36,910,560",929699,+394,14199,+32,901220,2248,552,-46
세르비아🇷🇸,0.9,85.5,"106,012","8,737,371",926269,+8467,8142,+45,792262,5785,251,+26
카자흐스탄🇰🇿,1.3,92.6,"46,904","18,776,707",880709,+1719,11100,+35,815664,2781,221,
쿠바🇨🇺,0.8,95.4,"76,528","11,326,616",866808,+6009,7330,+51,826727,7105,406,+20
스위스🇨🇭,1.3,90.7,"96,800","8,654,622",837767,+1288,11079,+26,759741,,209,
헝가리🇭🇺,3.7,95.4,"85,041","9,660,351",821526,+265,30179,+8,783815,648,74,+3
요르단🇯🇴,1.3,97.2,"80,548","10,203,134",820798,+1015,10697,+17,797773,1069,446,-30
네팔🇳🇵,1.4,96.3,"27,226","29,136,808",793271,+904,11115,+12,763734,1318,N/A,
베트남🇻🇳,2.5,72.7,"7,917","97,338,579",770640,+4589,18936,+178,559941,21487,N/A,
오스트리아🇦🇹,1.5,95.8,"82,026","9,006,398",738763,+1561,10986,+10,707860,2758,240,+6
아랍에미레이트🇦🇪,0.3,99.0,"74,361","9,890,402",735457,+277,2094,,727845,329,N/A,
튀니지🇹🇳,3.5,95.5,"59,692","11,818,619",705474,+179,24794,+6,673438,394,316,
그리스🇬🇷,2.3,93.8,"62,494","10,423,054",648091,+2122,14727,+48,608082,2382,323,-14
레바논🇱🇧,1.3,94.9,"91,274","6,825,445",622440,+205,8296,+10,591002,2425,200,
조지아🇬🇪,1.5,95.3,"152,749","3,989,167",609340,+2185,8884,+40,580891,2010,N/A,
과테말라🇬🇹,2.4,92.3,"30,883","17,915,568",550333,+773,13394,+19,507777,2564,5,
사우디아라비아🇸🇦,1.6,98.0,"15,713","34,813,871",547035,+50,8709,+5,536079,53,227,-17
벨라루스🇧🇾,0.8,96.6,"56,523","9,449,323",534104,+1955,4114,+12,516030,1469,N/A,
