행정동명,노인인구,경도,위도
가락1동,"3,306",127.1077445,37.4951698
가락2동,"4,196",127.131344,37.4962788
가락본동,"3,698",127.1213957,37.4971923
가리봉동,"1,921",126.888207,37.4829137
가산동,"2,556",126.8850721,37.4756389
가양1동,"3,003",126.8352521,37.5734646
가양2동,"3,966",126.85434,37.5683492
가양3동,"3,624",126.8622364,37.5627583
가회동,878,126.9863189,37.583995
갈현1동,"4,364",126.9143615,37.6247955
갈현2동,"4,946",126.9126436,37.6183503
강일동,"6,401",127.1725746,37.5632192
개봉1동,"6,284",126.8509947,37.5006766
개봉2동,"6,315",126.8578627,37.4923447
개봉3동,"4,167",126.8538852,37.4864119
개포1동,"1,586",127.0604992,37.480258
개포2동,"3,229",127.0668565,37.4814696
개포3동,,127.0718191,37.4885825
개포4동,"3,149",127.0532531,37.4766254
거여1동,"2,358",127.1421203,37.4946438
거여2동,"3,494",127.1489329,37.4891281
고덕1동,"2,855",127.1491472,37.5642144
고덕2동,"2,903",127.1622577,37.5665935
고척1동,"4,324",126.8634217,37.5004217
고척2동,"5,112",126.8545802,37.5050342
공덕동,"5,770",126.9573092,37.5497216
공릉1동,"6,428",127.0730413,37.6235052
공릉2동,"5,274",127.0918584,37.6314108
공항동,"4,159",126.7947412,37.5566442
광장동,"3,723",127.103556,37.5475025
광희동,"1,089",127.0029274,37.5655997
교남동,"1,604",126.9643275,37.5712812
구로1동,"2,567",126.8744434,37.4930275
구로2동,"5,548",126.8783718,37.4966945
구로3동,"3,389",126.8947943,37.4852754
구로4동,"4,395",126.8897517,37.4912957
구로5동,"4,571",126.8874986,37.5023806
구산동,"6,103",126.9091326,37.6120976
구의1동,"3,051",127.0859709,37.5409688
구의2동,"4,282",127.0946734,37.5518631
구의3동,"4,037",127.0961417,37.5357391
군자동,"2,976",127.0735141,37.5533702
금호1가동,"2,600",127.0245005,37.5530173
금호2.3가동,"3,810",127.0196534,37.5527101
금호4가동,"2,340",127.0227871,37.5435666
길동,"7,744",127.1473638,37.5398758
길음1동,"4,473",127.0202048,37.6080703
길음2동,"2,518",127.0272226,37.6079289
낙성대동,"1,949",126.9613809,37.4681431
난곡동,"5,337",126.920547,37.4703208
난향동,"2,687",126.9184886,37.4619525
남가좌1동,"2,092",126.9158688,37.5715267
남가좌2동,"4,791",126.9211579,37.5784557
남영동,"1,525",126.9740814,37.5445003
남현동,"2,725",126.9765916,37.4617099
내곡동,"3,217",127.069692,37.452285
노량진1동,"5,712",126.9504596,37.512746
노량진2동,"2,641",126.938553,37.5110955
녹번동,"6,861",126.9355246,37.604229
논현1동,"2,936",127.0267406,37.5120568
논현2동,"3,160",127.0359884,37.5151697
능동,"1,595",127.081995,37.551142
답십리1동,"4,023",127.0546553,37.5717301
답십리2동,"5,461",127.0598105,37.5717561
답십리3동,,127.0504575,37.5704403
답십리4동,,127.0622753,37.5698142
당산1동,"3,330",126.8971277,37.5241327
당산2동,"4,607",126.9036897,37.5334719
대림1동,"3,041",126.9047031,37.493276
대림2동,"2,809",126.9008809,37.4899172
대림3동,"4,338",126.8985444,37.5000989
대방동,"5,720",126.9277596,37.5069865
대조동,"5,056",126.924346,37.6129551
대치1동,"2,397",127.0592099,37.4932837
대치2동,"4,813",127.0662436,37.4955294
대치3동,,127.0661117,37.501685
대치4동,"2,083",127.0549429,37.5015894
대학동,"2,962",126.9503831,37.4543585
대흥동,"2,019",126.9402373,37.5509928
도곡1동,"2,917",127.0407387,37.4894403
도곡2동,"4,781",127.0489675,37.4880185
도림동,"3,174",126.9016479,37.5089421
도봉1동,"5,665",127.0270249,37.6852966
도봉2동,"6,397",127.0478527,37.6815251
도화동,"3,647",126.9467895,37.5364118
독산1동,"5,655",126.8921307,37.4654438
독산2동,"3,413",126.9048969,37.4626908
독산3동,"4,381",126.9050746,37.4758607
독산4동,"2,853",126.9050332,37.4693262
