,시설명,전체주소
0,신당푸르지오,서울시 중구 신당동 850
1,신당6현대@,서울시 중구 신당동 840
2,파라다이스,서울시 중구 신당동 282-10
3,마천제1,서울시  마천1동 324-2
4,용 문,서울시용산구 용문동 27-1
5,황 학,서울시 중구 황학동 1644
6,청 구,서울시중구 신당동 333-36
7,황 중,서울시 중구 황학동 2525
8,신당5동,서울시중구 신당동 132-10
9,유 락,서울시중구 신당동 155-10
10,황 학,서울시중구 황학동 1644
11,만 리,서울시중구 만리2가 176-2
12,동빙고,서울시용산구 동빙고동 65
13,일광노인요양공동생활가정,서울시성북구 삼선동3가 33-4
14,사랑마루 송파,서울시송파구 석촌동 226-1           석촌빌딩 301호 
15,대명요양센터,서울시영등포구 양평동4가 68번지 1호
16,동명노인복지센타,서울시 관악구 서울시 관악구 보라매동 647-10
17,구로리,서울시 구로구 구로4동317-120
18,청 송,서울시중구 신당동 843
19,사랑나눔요양원,서울시 관악구 서울시 관악구 신림동 570번지 2호
20,신도림현대(아),서울시 구로구 구로5동560
21,새솔(아),서울시 구로구 구로5동108-2
22,금천데이케어센터,서울시금천구 시흥1동 558-1(금천노인복지관)
23,정토데이케어센터,서울시구로구 구로3동 256-7
24,미소들실버데이케어센터,서울시구로구 개봉1동 43-1번지
25,구립중화경로복지관 병설 데이케어센터,서울시 중랑구 서울시 중랑구 중화동 37-4
26,노원데이케어센터,서울시 노원구 서울시 하계동 256번지
27,관악미르사랑데이케어센터,서울시관악구 보라매동 952-20 4층
28,살림데이케어센터,서울시관악구 성현동 1718-8
29,청운데이케어센터,서울시동작구 상도동 290-1
30,동작데이케어센터,서울시동작구 대방동 335-10(동작노인종합복지관)
31,사랑나눔요양원,서울시관악구 신림8동 570-2
32,난향노인요양공동생활가정,서울시관악구 신림동 1474-17
33,태영타운,서울시 구로구 구로5동1267
34,구립국화,서울시 구로구 고척1동57-130
35,행복의집 난곡센터,서울시관악구 신림동 1475-4
36,삼거리,서울시 구로구 고척1동76-133
37,난향II공동생활가정,서울시관악구 신림동 1474-17
38,청구(아),서울시 구로구 고척1동52
39,센추리,서울시 구로구 고척1동320
40,북성경로당,서울시 서대문구 북아현동 163-7
41,희망의집,서울시구로구 개봉동 260-7
42,금천삼성노인요양원,서울시금천구 독산동 991-44
43,가람노인요양센터,서울시금천구 시흥동 959-5
44,실버캐슬노인요양원금천점,서울시금천구 독산동길 378-392
45,소망노인요양공동생활가정,서울시동대문구 답십리4동1-548 창승빌딩A동
46,우리사랑노인요양공동생활가정,서울시동대문구 휘경동 194-83
47,경동노인요양생활가정,서울시동대문구 청량리1동 689
48,구로데이케어센터,서울시구로구 구로5동 25-1(구로노인종합복지관)
49,가톨릭서울형데이케어센터(화곡본동),서울시강서구 화곡본동 105-244
50,한마음데이케어센터,서울시강서구 화곡본동 24-571
51,우리모두데이케어센터,서울시강서구 등촌3동 704 주공 등촌9복지관
52,중앙하이츠 아쿠아,서울시노원구 중계동 514
53,방배실버케어,서울시서초구 방배동 902-1
54,시흥베르빌아파트 경로당,서울시 금천구 시흥동 1015
55,노인요양센터 인영실버,서울시금천구 시흥동 995-29
56,용산노인종합복지관,서울시용산구 한남동 108
57,신내노인종합복지관,서울시 중랑구 신내동 771-1
58,시립마포노인종합복지관,서울시마포구 창전동 140
59,개봉현대(아),서울시 구로구 개봉2동481
60,개봉3동,서울시 구로구 개봉3동349-16
61,한진(아),서울시 구로구 개봉3동478
62,영화아이닉스,서울시 구로구 개봉3동488
63,동산경로당,서울시 구로구 오류1동1-129
64,동부골든(아),서울시 구로구 오류1동
65,동부골든임대,서울시 구로구 오류1동14-99
66,오류동부덕고개,서울시 구로구 오류1동336
67,오류2동 ,서울시 구로구 오류2동
68,가든빌라,서울시 구로구 오류2동97-4
69,금강(아),서울시 구로구 오류2동335
70,응골경로당,서울시 구로구 오류2동137-7 104호
71,그린빌라경로당,서울시 구로구 항동1-5
72,영풍마드레빌,서울시 구로구 오류2동342
73,경남아너스빌,서울시 구로구 오류2동344
74,우림필유(아),서울시 구로구 오류2동348
75,수궁분회,서울시 구로구 온수동124
76,우신빌라,서울시 구로구 궁동213-21
77,궁동,서울시 구로구 궁동157
78,가산동상록,서울시 금천구 가산동 602-71
79,독산1동 영보,서울시 금천구 독산동 144-60
80,독산4동 감노천,서울시 금천구 독산동 917
81,시흥1동 효정,서울시 금천구 시흥동 995
82,시흥1동 새재미,서울시 금천구 시흥동 855
83,시흥2동 산장,서울시 금천구 시흥동 243-31
84,시흥3동 박산,서울시 금천구 시흥동 973
85,시흥4동 장수,서울시 nan 시흥동 8-9 
86,시흥4동 신흥,서울시 금천구 시흥동 산126-13
87,우창  경로당,서울시 금천구 가산동 547-44
88,한신아파트  경로당,서울시 금천구 독산동 1095
89,계룡아파트 경로당,서울시 금천구 독산동 332-14
90,청광아파트 경로당,서울시 금천구 독산동 1139
91,중앙하이츠아파트 경로당,서울시 금천구 독산동 1140
92,해가든아파트 경로당,서울시 금천구 독산동 1143
93,대덕트윈빌아파트 경로당,서울시 금천구 독산동 1028
94,성지아파트 경로당,서울시 금천구 시흥1동 산173-8
95,목련아파트 경로당,서울시 금천구 시흥동 118-9
96,건영아파트 경로당,서울시 금천구 시흥동 384-12
97,신도브레뉴아파트 경로당,서울시 금천구 시흥동 1017
98,구립영등포본동,서울시 영등포구 영등포 620-50
99,순영경로당,서울시 영등포구 영등포동648
100,우성(아),서울시 영등포구 대림동 762-1
101,지회직할,서울시 영등포구 영등포동 3가19-3
102,구립이화,서울시 영등포구 영등포동3가 13-9
103,영2제2,서울시 영등포구 영등포동2가 29-84
104,중앙,서울시 영등포구 영등포동5가 41-8
105,구립영중,서울시 영등포구 영등포동7가 49-1
106,구립시범(아),서울시 영등포구 여의도동 50-2
107,럭키 (아),서울시 구로구 구로4동1257
108,벽산아파트 제1 경로당,서울시 금천구 시흥동 1010
109,신사1동,서울시 은평구 신사1동 270-45
110,신흥,서울시 은평구 신사1동 31-2
111,라이프아파트,서울시 은평구 신사1동 354
112,신사2차현대아파트,서울시 은평구 신사1동 355
113,시티아파트,서울시 은평구 신사1동 297
114,홍익아파트,서울시 은평구 신사1동 19-117
115,신사성원아파트,서울시 은평구 신사1동 360
116,은평신사두산위브아파트,서울시 은평구 신사1동 370
117,신사한신아파트,서울시 은평구 신사1동 365
118,신사제2,서울시 은평구 신사2동 200-27
119,장수,서울시 은평구 신사2동 183-10
120,미성아파트,서울시 은평구 신사2동 140-2
121,신성아파트,서울시 은평구 신사2동 155-1
122,신사현대아파트,서울시 은평구 신사2동 359
123,뉴신성아파트,서울시 은평구 신사2동 356
124,신사이랜드타운아파트,서울시 은평구 신사2동 367
125,신성수정아파트,서울시 은평구 신사2동 358
126,증산할머니,서울시 은평구 증산동 189-68
127,증산 ,서울시 은평구 증산동 202-17
128,월드빌아파트,서울시 은평구 증산동 250
129,한신빌라,서울시 은평구 증산동 산10-22
130,두산위브아파트,서울시 은평구 증산동 255
131,우방아파트,서울시 은평구 증산동 244
132,청구아파트,서울시 은평구 수색동 413
133,대림한숲아파트,서울시 은평구 수색동 1
134,한숲 ,서울시 은평구 수색동 415
135,수색,서울시 은평구 수색동 146-12
136,상동,서울시 은평구 수색동 8-15
137,구룡,서울시 은평구 수색동 289-37
138,수색할머니,서울시 은평구 수색동 173-4
139,산장,서울시 은평구 수색동 129-4
140,수색중앙,서울시 은평구 수색동 355-15
141,수색진흥아파트,서울시 은평구 수색동 416-1
142,우정,서울시 은평구 수색동 363-16
143,여기소,서울시 은평구 진관동 302-3
144,불암경로당,서울시 노원구 상계동 404-7
145,은평뉴타운상림마을3단지아파트 경로당,서울시 은평구 진관동 13 은평뉴타운상림마을3단지아파트708동 1층
146,은평뉴타운상림마을10단지아파트 경로당,서울시 은평구 진관동 12 은평뉴타운상림마을10단지아파트709동 1층
147,은평뉴타운상림마을4단지아파트 경로당,서울시 은평구 진관동 6 은평뉴타운상림마을4단지아파트702동 1층
148,은평뉴타운상림마을11단지아파트 경로당,서울시 은평구 진관동 15 은평뉴타운상림마을11단지아파트715동 1층
