동,인구
사직동,52
삼청동,16
부암동,44
평창동,44
무악동,62
교남동,89
가회동,18
종로1.2.3.4가동,341
종로5·6가동,100
이화동,84
창신1동,212
창신2동,147
창신3동,60
숭인1동,104
숭인2동,160
청운효자동,55
혜화동,75
소공동,15
회현동,198
명동,38
필동,36
장충동,46
광희동,79
을지로동,68
신당5동,141
황학동,176
중림동,194
신당동,126
다산동,149
약수동,302
청구동,254
동화동,50
후암동,242
용산2가동,136
남영동,446
원효로2동,152
효창동,34
용문동,127
이촌1동,17
이촌2동,53
이태원1동,63
이태원2동,89
서빙고동,87
보광동,263
청파동,251
원효로1동,90
한강로동,176
한남동,195
왕십리2동,126
마장동,192
사근동,57
행당1동,108
행당2동,241
응봉동,39
금호1가동,256
금호4가동,134
성수1가1동,115
성수1가2동,69
성수2가1동,203
성수2가3동,65
송정동,158
용답동,208
왕십리도선동,298
금호2.3가동,195
옥수동,141
화양동,121
군자동,227
중곡1동,175
중곡2동,161
중곡3동,221
중곡4동,320
능동,67
구의1동,185
구의2동,221
구의3동,115
광장동,60
자양1동,261
자양2동,185
자양3동,91
자양4동,287
회기동,69
휘경1동,92
휘경2동,148
청량리동,720
용신동,595
제기동,563
전농1동,610
전농2동,198
답십리1동,222
답십리2동,383
장안1동,338
장안2동,273
이문1동,191
이문2동,277
면목2동,406
면목4동,427
면목5동,137
면목7동,299
상봉1동,356
상봉2동,262
중화1동,229
중화2동,640
묵1동,272
묵2동,270
망우3동,402
신내1동,483
신내2동,391
면목본동,575
면목3.8동,493
망우본동,633
돈암1동,185
돈암2동,125
안암동,126
보문동,138
정릉1동,127
정릉2동,173
정릉3동,236
정릉4동,223
길음1동,169
길음2동,181
월곡1동,271
월곡2동,215
장위1동,314
장위2동,230
장위3동,148
성북동,98
삼선동,221
동선동,123
종암동,378
석관동,460
번1동,271
번2동,396
번3동,650
수유1동,386
수유2동,311
수유3동,358
삼양동,445
미아동,347
송중동,375
송천동,531
삼각산동,402
우이동,248
인수동,445
쌍문1동,271
쌍문2동,232
쌍문3동,207
쌍문4동,57
방학1동,389
방학2동,456
방학3동,85
창1동,164
창2동,211
창3동,267
창4동,92
창5동,137
도봉1동,401
도봉2동,327
월계1동,224
월계2동,924
월계3동,544
공릉2동,197
