동,인구
사직동,18 
삼청동,3 
부암동,8 
평창동,15 
무악동,11 
교남동,49 
가회동,4 
종로1.2.3.4가동,24 
종로5·6가동,30 
이화동,50 
창신1동,29 
창신2동,16 
창신3동,16 
숭인1동,18 
숭인2동,23 
청운효자동,34 
혜화동,29 
소공동,1 
회현동,9 
명동,5 
필동,11 
장충동,4 
광희동,9 
을지로동,10 
신당5동,36 
황학동,22 
중림동,16 
신당동,25 
다산동,27 
약수동,85 
청구동,34 
동화동,14 
후암동,23 
용산2가동,23 
남영동,14 
원효로2동,14 
효창동,6 
용문동,6 
이촌1동,1 
이촌2동,7 
이태원1동,10 
이태원2동,12 
서빙고동,12 
보광동,44 
청파동,25 
원효로1동,13 
한강로동,13 
한남동,24 
왕십리2동,35 
마장동,52 
사근동,28 
행당1동,40 
행당2동,95 
응봉동,25 
금호1가동,65 
금호4가동,36 
성수1가1동,30 
성수1가2동,19 
성수2가1동,50 
성수2가3동,22 
송정동,51 
용답동,57 
왕십리도선동,62 
금호2.3가동,52 
옥수동,50 
화양동,16 
군자동,22 
중곡1동,33 
중곡2동,54 
중곡3동,38 
중곡4동,53 
능동,13 
구의1동,34 
구의2동,50 
구의3동,17 
광장동,19 
자양1동,40 
자양2동,29 
자양3동,28 
자양4동,40 
회기동,15 
휘경1동,23 
휘경2동,30 
청량리동,64 
용신동,32 
제기동,74 
전농1동,67 
전농2동,27 
답십리2동,48 
장안1동,56 
장안2동,49 
이문1동,27 
이문2동,43 
답십리1동,28 
면목2동,56 
면목4동,28 
면목5동,14 
면목7동,31 
상봉1동,36 
상봉2동,24 
중화1동,35 
중화2동,44 
묵1동,47 
묵2동,34 
망우3동,36 
신내1동,53 
신내2동,42 
면목본동,59 
면목3.8동,48 
망우본동,58 
돈암1동,38 
돈암2동,23 
안암동,39 
보문동,33 
정릉1동,18 
정릉2동,56 
정릉3동,65 
정릉4동,42 
길음1동,47 
길음2동,23 
월곡1동,36 
월곡2동,34 
장위1동,56 
장위2동,35 
장위3동,23 
성북동,34 
삼선동,51 
동선동,41 
종암동,69 
석관동,61 
번1동,56 
번2동,154 
번3동,149 
수유1동,79 
수유2동,69 
수유3동,69 
삼양동,97 
미아동,107 
송중동,102 
송천동,97 
삼각산동,53 
우이동,88 
인수동,128 
쌍문1동,61 
쌍문2동,82 
쌍문3동,60 
쌍문4동,31 
방학1동,79 
방학2동,93 
방학3동,48 
창1동,29 
창2동,71 
창3동,46 
창4동,34 
창5동,44 
도봉1동,103 
도봉2동,94 
월계1동,76 
월계2동,181 
월계3동,146 
공릉2동,71 
하계1동,108 
하계2동,112 
중계본동,100 
중계1동,65 
중계4동,131 
상계1동,155 
상계2동,84 
상계5동,151 
상계8동,40 
상계9동,61 
상계10동,21 
상계3.4동,269 
상계6.7동,63 
중계2.3동,286 
공릉1동,121 
녹번동,96 
불광1동,102 
갈현1동,91 
갈현2동,73 
구산동,80 
대조동,82 
응암1동,61 
응암2동,55 
신사1동,59 
신사2동,60 
증산동,44 
수색동,36 
진관동,104 
불광2동,137 
응암3동,131 
역촌동,163 
천연동,25 
홍제1동,41 
홍제3동,70 
홍제2동,27 
홍은1동,52 
홍은2동,51 
남가좌1동,13 
남가좌2동,52 
북가좌1동,21 
북가좌2동,62 
충현동,43 
북아현동,19 
신촌동,24 
연희동,43 
용강동,24 
대흥동,38 
염리동,23 
신수동,16 
서교동,32 
합정동,25 
망원1동,47 
망원2동,27 
연남동,24 
성산1동,29 
성산2동,57 
상암동,135 
도화동,40 
서강동,19 
공덕동,69 
아현동,26 
목1동,13 
목2동,35 
목3동,46 
목4동,41 
신월1동,70 
신월2동,83 
신월3동,89 
신월4동,22 
신월5동,40 
신월6동,20 
신월7동,89 
신정1동,25 
신정2동,55 
신정3동,115 
신정6동,5 
신정7동,47 
목5동,0 
신정4동,64 
염창동,21 
등촌1동,21 
등촌2동,27 
등촌3동,85 
화곡본동,73 
화곡2동,37 
화곡3동,16 
화곡4동,48 
화곡6동,39 
화곡8동,35 
가양1동,21 
가양2동,85 
가양3동,64 
발산1동,54 
공항동,50 
방화1동,63 
방화2동,65 
방화3동,76 
화곡1동,83 
우장산동,27 
신도림동,25 
구로1동,14 
구로3동,60 
구로4동,85 
구로5동,48 
고척1동,48 
고척2동,71 
개봉2동,52 
개봉3동,50 
오류1동,92 
오류2동,105 
수궁동,77 
가리봉동,31 
구로2동,76 
개봉1동,112 
가산동,153 
독산1동,47 
독산2동,81 
독산3동,72 
독산4동,49 
시흥1동,79 
시흥2동,53 
시흥3동,21 
시흥4동,65 
시흥5동,54 
여의동,6 
당산1동,36 
당산2동,26 
양평1동,21 
양평2동,15 
신길1동,80 
신길3동,32 
신길4동,36 
신길5동,31 
신길6동,25 
신길7동,19 
대림1동,32 
대림2동,26 
대림3동,40 
영등포본동,23 
영등포동,31 
도림동,44 
문래동,31 
노량진2동,58 
상도1동,120 
상도2동,52 
상도3동,75 
상도4동,83 
사당1동,43 
사당3동,28 
사당4동,45 
사당5동,33 
대방동,109 
신대방1동,42 
신대방2동,42 
흑석동,74 
노량진1동,79 
사당2동,42 
보라매동,56 
청림동,35 
행운동,59 
낙성대동,19 
중앙동,32 
인헌동,52 
남현동,40 
서원동,43 
신원동,67 
서림동,38 
신사동,47 
신림동,12 
난향동,54 
조원동,35 
대학동,26 
은천동,101 
성현동,94 
청룡동,50 
난곡동,105 
삼성동,124 
미성동,95 
서초1동,10 
서초2동,7 
서초3동,17 
서초4동,6 
잠원동,17 
반포본동,2 
반포1동,19 
반포2동,1 
반포3동,8 
반포4동,10 
방배본동,21 
방배1동,13 
방배2동,37 
방배3동,30 
방배4동,21 
양재1동,73 
양재2동,31 
내곡동,21 
신사동,6 
논현1동,12 
논현2동,16 
삼성1동,6 
삼성2동,17 
대치1동,4 
대치4동,11 
역삼1동,43 
역삼2동,25 
도곡1동,9 
도곡2동,7 
개포1동,36 
개포4동,30 
일원본동,6 
일원1동,111 
일원2동,91 
수서동,140 
세곡동,134 
압구정동,9 
청담동,15 
대치2동,9 
개포2동,10 
풍납1동,17 
풍납2동,15 
