동,인구
사직동,590
삼청동,240
부암동,489
평창동,754
무악동,334
교남동,503
가회동,296
종로1.2.3.4가동,1285
종로5·6가동,501
이화동,508
창신1동,646
창신2동,631
창신3동,326
숭인1동,433
숭인2동,722
청운효자동,604
혜화동,786
소공동,80
회현동,563
명동,199
필동,349
장충동,256
광희동,419
을지로동,260
신당5동,546
황학동,608
중림동,569
신당동,523
다산동,676
약수동,1016
청구동,719
동화동,334
후암동,887
용산2가동,555
남영동,893
원효로2동,527
효창동,290
용문동,446
이촌1동,837
이촌2동,388
이태원1동,378
이태원2동,501
서빙고동,502
보광동,814
청파동,948
원효로1동,515
한강로동,860
한남동,1013
왕십리2동,742
마장동,1201
사근동,498
행당1동,633
행당2동,1077
응봉동,562
금호1가동,958
금호4가동,712
성수1가1동,672
성수1가2동,489
성수2가1동,1022
성수2가3동,512
송정동,718
용답동,950
왕십리도선동,1253
금호2.3가동,1103
옥수동,934
화양동,621
군자동,784
중곡1동,635
중곡2동,708
중곡3동,809
중곡4동,1168
능동,345
구의1동,753
구의2동,942
구의3동,704
광장동,538
자양1동,909
자양2동,751
자양3동,703
자양4동,1033
회기동,435
휘경1동,477
휘경2동,859
청량리동,1756
용신동,1841
제기동,1866
전농1동,1763
전농2동,747
답십리1동,892
답십리2동,1231
장안1동,1375
장안2동,1144
이문1동,807
이문2동,909
면목2동,1350
면목4동,965
면목5동,494
면목7동,994
상봉1동,896
상봉2동,883
중화1동,816
중화2동,1575
묵1동,1045
묵2동,873
망우3동,1019
신내1동,1184
신내2동,1076
면목본동,1727
면목3.8동,1363
망우본동,1686
돈암1동,627
돈암2동,563
안암동,620
보문동,665
정릉1동,624
정릉2동,940
정릉3동,914
정릉4동,1101
길음1동,822
길음2동,584
월곡1동,1005
월곡2동,867
장위1동,991
장위2동,753
장위3동,437
성북동,764
삼선동,1011
동선동,655
종암동,1592
석관동,1690
번1동,995
번2동,1143
번3동,1328
수유1동,1201
수유2동,1100
수유3동,1284
삼양동,1428
미아동,1337
송중동,1453
송천동,1862
삼각산동,949
우이동,1209
인수동,1797
쌍문1동,961
쌍문2동,971
쌍문3동,794
쌍문4동,506
방학1동,1298
방학2동,1237
방학3동,793
창1동,1011
창2동,1061
창3동,791
창4동,802
창5동,811
도봉1동,1550
도봉2동,1394
월계1동,924
월계2동,1734
월계3동,1498
공릉2동,1012
하계1동,1482
하계2동,709
중계본동,556
중계1동,491
중계4동,1206
상계1동,1378
상계2동,767
상계5동,1333
상계8동,594
상계9동,729
상계10동,483
상계3.4동,1813
상계6.7동,1165
중계2.3동,2349
공릉1동,1676
녹번동,1816
불광1동,1897
갈현1동,1164
갈현2동,1051
구산동,1141
대조동,1327
응암1동,1071
응암2동,761
신사1동,932
신사2동,845
증산동,649
수색동,451
