교명,캠퍼스,학교소재지,설립유형,학교유형,비고,위도,경도
가톨릭대학교,성신교정(신학대학),서울특별시 종로구 창경궁로 296-12,사립,종합대학,"경기도 소재, 이원화캠퍼스",37.58490098,127.0047707
가톨릭대학교,"성의교정(의과대학, 간호대학)",서울특별시 서초구 반포대로 222,,,,37.50239362,127.0058606
건국대학교,서울캠퍼스,서울특별시 광진구 능동로 120,사립,종합대학,본교,37.53918267,127.0747119
경기대학교,서울캠퍼스,서울특별시 서대문구 경기대로9길 24,사립,종합대학,이원화캠퍼스,37.56519469,126.9622242
경희대학교,서울캠퍼스,서울특별시 동대문구 경희대로 26,사립,종합대학,이원화캠퍼스,37.59394914,127.054891
고려대학교,서울캠퍼스,서울특별시 성북구 안암로 145,사립,종합대학,본교,37.58870342,127.0316983
광운대학교,-,서울특별시 노원구 광운로 20,사립,종합대학,,37.61932035,127.0583381
국민대학교,-,서울특별시 성북구 정릉로 77,사립,종합대학,,37.61028784,126.9985206
동국대학교,서울캠퍼스,서울특별시 중구 필동로1길 30,사립,종합대학,본교,37.55893664,126.9987376
명지대학교,인문캠퍼스,서울특별시 서대문구 거북골로 34,사립,종합대학,"경기도 소재, 이원화캠퍼스",37.58037702,126.9213485
삼육대학교,-,서울특별시 노원구 화랑로 815,사립,종합대학,,37.64335737,127.1088503
상명대학교,서울캠퍼스,서울특별시 종로구 홍지문2길 20,사립,종합대학,이원화캠퍼스,37.60410891,126.9551595
서강대학교,-,서울특별시 마포구 백범로 35,사립,종합대학,,37.55146931,126.943025
서경대학교,-,서울특별시 성북구 서경로 124,사립,종합대학,,37.61541478,127.0135658
서울대학교,관악캠퍼스,서울특별시 관악구 관악로 1,국립,종합대학,,37.46803806,126.9592943
서울대학교,연건캠퍼스,서울특별시 종로구 대학로 103,,,,37.5812243,127.0010236
서울과학기술대학교,-,서울특별시 노원구 공릉로 232,국립,종합대학,,37.63307893,127.0767947
서울시립대학교,-,서울특별시 동대문구 서울시립대로 163,공립,종합대학,,37.58257758,127.0599881
성공회대학교,-,서울특별시 구로구 연동로 320,사립,종합대학,,37.4875236,126.8261635
성균관대학교,인문사회캠퍼스,서울특별시 종로구 성균관로 25-2,사립,종합대학,이원화캠퍼스,37.58722841,126.9931151
세종대학교,-,서울특별시 광진구 능동로 209,사립,종합대학,,37.55160814,127.0731832
숭실대학교,-,서울특별시 동작구 상도로 369,사립,종합대학,,37.49642897,126.9551579
연세대학교,신촌캠퍼스,서울특별시 서대문구 연세로 50,사립,종합대학,본교(송도-레지던스캠퍼스),37.56380644,126.9429309
중앙대학교,서울캠퍼스,서울특별시 동작구 흑석로 84,사립,종합대학,이원화캠퍼스,37.50472672,126.9538339
총신대학교,-,서울특별시 동작구 사당로 143,사립,종합대학,,37.48792901,126.9667631
한국외국어대학교,서울캠퍼스,서울특별시 동대문구 이문로 107,사립,종합대학,이원화캠퍼스,37.59829668,127.0579424
한성대학교,-,서울특별시 성북구 삼선교로16길 116,사립,종합대학,,37.58323585,127.01039
한양대학교,서울캠퍼스,서울특별시 성동구 왕십리로 222,사립,종합대학,본교,37.55450355,127.0466112
홍익대학교,서울캠퍼스,서울특별시 마포구 와우산로 94,사립,종합대학,,37.55251925,126.9249906
케이씨대학교,-,서울특별시 강서구 까치산로24길 47,사립,종합대학,舊 그리스도대학교,37.54868531,126.8541565
서울교육대학교,-,서울특별시 서초구 서초중앙로 96,국립,특수대학,,37.49074049,127.0154245
추계예술대학교,-,서울특별시 서대문구 북아현로11가길 7,사립,예술대학,,37.56317672,126.9540593
한국예술종합학교,석관캠퍼스,서울특별시 성북구 화랑로32길 146-37,국립,예술대학,이원화 캠퍼스,37.60635811,127.0539408
한국예술종합학교,서초캠퍼스,서울특별시 서초구 남부순환로 2374,,,,37.47791902,127.01077
한국예술종합학교,대학로캠퍼스,서울특별시 종로구 창경궁로 215,,,,37.58203191,126.9970157
한국체육대학교,-,서울 송파구 양재대로 1239,국립,특수대학,,37.51990463,127.1320005
덕성여자대학교,쌍문캠퍼스,서울 도봉구 삼양로144길 33 덕성여대,사립,종합대학,,37.64950908,127.0163952
덕성여자대학교,종로캠퍼스,"서울 종로구 삼일대로 460 운현초등학교,평생교육원",,,이원화캠퍼스,37.57663053,126.9881575
동덕여자대학교,-,서울 성북구 화랑로13길 60 동덕여자대학교,사립,종합대학,,37.60681483,127.0411763
서울여자대학교,-,서울 노원구 화랑로 621 서울여자대학교,사립,종합대학,,37.62878266,127.0889915
성신여자대학교,수정캠퍼스,서울 성북구 보문로34다길 2,사립,종합대학,,37.59165248,127.0221456
성신여자대학교,운정그린캠퍼스,서울 강북구 도봉로76가길 55 성신여자대학교운정그린캠퍼스,,,이원화캠퍼스,37.63220427,127.0273476
숙명여자대학교,-,서울 용산구 청파로47길 100,사립,종합대학,,37.54547408,126.9650744
이화여자대학교,-,서울 서대문구 이화여대길 52,사립,종합대학,,37.56446452,126.9502888
감리교신학대학교,-,서울 서대문구 독립문로 56 감리교신학대학교,사립,신학대학,,37.56791676,126.9618924
서울기독대학교,-,서울 은평구 갈현로4길 26-2 서울기독교대학교,사립,신학대학,,37.60075686,126.9121924
장로회신학대학교,-,서울 광진구 광장로5길 25-1 장로회신학대학교,사립,신학대학,,37.55008058,127.104754
한국성서대학교,-,서울 노원구 동일로214길 32,사립,신학대학,,37.64896177,127.063751
서울한영대학교,-,서울 구로구 경인로 290-42 한영신학대학교,,신학대학,,37.49656611,126.8512505
배화여자대학교,-,서울 종로구 필운대로1길 34,,2-3년제 전문대학,,37.57954401,126.9672919
서울여자간호대학교,-,서울 노원구 화랑로 621 서울여자대학교,,2-3년제 전문대학,,37.62878266,127.0889915
숭의여자대학교,-,서울 중구 소파로2길 10,,2-3년제 전문대학,,37.55785307,126.9874816
한양여자대학교,-,서울 성동구 왕십리로 222 한양대학교,,2-3년제 전문대학,,37.55450355,127.0466112
한국폴리텍대학,서울정수캠퍼스,서울 용산구 보광로 73,,1-2년제 기능대학,구 서울정수기능대학,37.52997497,126.996817
한국폴리텍대학,서울강서캠퍼스,서울 강서구 우장산로10길 112,,,구 서울정보기능대학,37.54924248,126.8424451
국제예술대학교,-,서울 강남구 도산대로30길 47 국제예술대학교,사립,2년제 전공대학,,37.51691937,127.0310425
백석예술대학교,-,서울 서초구 방배로9길 23,사립,2년제 전공대학,,37.48037139,126.996897
