학교종류명,도로명우편번호,도로명주소,위도,경도
서울숭신초등학교,4702,서울특별시 성동구 마장로 161,37.56781934,127.0278897
한양초등학교,4763,서울특별시 성동구 살곶이길 208,37.55762103,127.0502634
세종초등학교,5006,서울특별시 광진구 군자로 114,37.5530111,127.0728646
성동초등학교,5114,서울특별시 광진구 자양로4길 63,37.53328137,127.089281
서울화양초등학교,5011,서울특별시 광진구 군자로 9,37.54422859,127.0715827
서울행현초등학교,4713,서울특별시 성동구 행당로 95,37.55770899,127.029368
서울행당초등학교,4746,서울특별시 성동구 고산자로8길 6,37.55701913,127.0348734
서울중마초등학교,4907,서울특별시 광진구 동일로72길 43,37.56579084,127.0790239
서울중광초등학교,4908,서울특별시 광진구 긴고랑로13길 59,37.56524214,127.082693
서울장안초등학교,5004,서울특별시 광진구 군자로 74,37.54987645,127.0724025
서울자양초등학교,5054,서울특별시 광진구 아차산로44길 26,37.53698824,127.0797396
서울응봉초등학교,4742,서울특별시 성동구 독서당로62길 28,37.55025339,127.0338297
서울용마초등학교,4926,서울특별시 광진구 천호대로113길 10,37.55782735,127.0835274
서울용답초등학교,4805,서울특별시 성동구 용답25길 1,37.56072712,127.0537608
서울용곡초등학교,4940,서울특별시 광진구 용마산로22길 82,37.56710862,127.088453
서울옥정초등학교,4735,서울특별시 성동구 한림말길 43,37.54230974,127.0157855
서울옥수초등학교,4740,서울특별시 성동구 금호로1길 25,37.54552939,127.0218696
서울양진초등학교,4982,서울특별시 광진구 워커힐로 32,37.54457517,127.0983114
서울양남초등학교,5114,서울특별시 광진구 뚝섬로64길 71,37.53112324,127.0892343
서울신자초등학교,5110,서울특별시 광진구 뚝섬로46길 64,37.53024545,127.0755876
서울신양초등학교,5090,서울특별시 광진구 능동로 42,37.53468209,127.0699953
서울송원초등학교,4800,서울특별시 성동구 동일로43길 9,37.55415927,127.0695262
서울성자초등학교,5102,서울특별시 광진구 뚝섬로56길 7,37.53149357,127.0834083
서울성수초등학교,4798,서울특별시 성동구 아차산로17길 21,37.54431313,127.0631674
서울사근초등학교,4761,서울특별시 성동구 사근동11길 16,37.56267971,127.0475738
서울무학초등학교,4710,서울특별시 성동구 무학봉15길 21,37.56327474,127.0296437
서울마장초등학교,4753,서울특별시 성동구 마장로35나길 32,37.56830949,127.042128
서울동호초등학교,4731,서울특별시 성동구 동호로5길 133,37.54647556,127.0101551
서울동자초등학교,5069,서울특별시 광진구 뚝섬로 561,37.53505821,127.0721792
서울동의초등학교,4948,서울특별시 광진구 영화사로 111,37.55342244,127.0990473
서울동명초등학교,4705,서울특별시 성동구 마장로29길 29,37.56812285,127.0351082
서울금호초등학교,4726,서울특별시 성동구 무수막길 69,37.55189794,127.0207529
서울금옥초등학교,4725,서울특별시 성동구 독서당로 251,37.54630162,127.0176507
서울금북초등학교,4721,서울특별시 성동구 행당로1길 13,37.55749549,127.0235565
서울구의초등학교,5022,서울특별시 광진구 광나루로30길 49,37.54300744,127.0803118
서울구남초등학교,5048,서울특별시 광진구 구의강변로 69,37.53709659,127.0922888
서울광진초등학교,4980,서울특별시 광진구 자양로40길 41,37.54761146,127.0913325
서울광장초등학교,4966,서울특별시 광진구 광장로1길 27,37.54854922,127.1017999
서울광남초등학교,4973,서울특별시 광진구 아차산로70길 35,37.54078809,127.1006653
서울경일초등학교,4774,서울특별시 성동구 뚝섬로 332,37.5409419,127.0466051
서울경수초등학교,4785,서울특별시 성동구 뚝섬로13길 22,37.54043667,127.0580668
서울경동초등학교,4781,서울특별시 성동구 성수일로 34,37.5438253,127.050074
경복초등학교,4991,서울특별시 광진구 천호대로130길 58,37.54981386,127.0867934
중앙대학교사범대학부속초등학교,6973,서울특별시 동작구 서달로 135,37.50545264,126.9596777
서울흑석초등학교,6904,서울특별시 동작구 현충로 87,37.50829272,126.9651322
서울행림초등학교,7031,서울특별시 동작구 솔밭로 47,37.48280761,126.9649643
서울청룡초등학교,8833,서울특별시 관악구 관악로5길 61,37.47672527,126.9512846
서울조원초등학교,8701,서울특별시 관악구 조원로 67,37.48412777,126.9095056
서울인헌초등학교,8792,서울특별시 관악구 낙성대로 23,37.47675499,126.9598639
서울은천초등학교,8716,서울특별시 관악구 은천로 69,37.4865852,126.9426791
서울은로초등학교,6973,서울특별시 동작구 서달로 115,37.50314888,126.9599999
